 County , Total Population , Hispanic Total , Percent Hispanic , Hispanic White , Percent Hispanic White , Hispanic Non-White , Percent Hispanic Non-White , Non-Hispanic , Percent Non-Hispanic , Non-Hispanic White , Percent Non-Hispanic White , Non-Hispanic Non-White , Percent Non-Hispanic Non-White 
 Alamance ," 195,390 "," 32,452 ", 16.6 ," 25,803 ", 13.2 ," 6,649 ", 3.4 ," 162,938 ", 83.4 ," 107,888 ", 55.2 ," 55,050 ", 28.2 
 Alexander ," 36,815 "," 2,376 ", 6.5 ," 1,965 ", 5.3 , 411 , 1.1 ," 34,439 ", 93.5 ," 30,274 ", 82.2 ," 4,165 ", 11.3 
 Alleghany ," 11,728 "," 1,746 ", 14.9 ," 1,476 ", 12.6 , 270 , 2.3 ," 9,982 ", 85.1 ," 9,412 ", 80.3 , 570 , 4.9 
 Anson ," 21,198 ", 611 , 2.9 , 456 , 2.2 , 155 , 0.7 ," 20,587 ", 97.1 ," 9,979 ", 47.1 ," 10,608 ", 50.0 
 Ashe ," 26,578 "," 1,403 ", 5.3 ," 1,109 ", 4.2 , 294 , 1.1 ," 25,175 ", 94.7 ," 24,068 ", 90.6 ," 1,107 ", 4.2 
 Avery ," 17,558 "," 1,055 ", 6.0 , 774 , 4.4 , 281 , 1.6 ," 16,503 ", 94.0 ," 15,050 ", 85.7 ," 1,453 ", 8.3 
 Beaufort ," 43,829 "," 3,506 ", 8.0 ," 2,942 ", 6.7 , 564 , 1.3 ," 40,323 ", 92.0 ," 29,015 ", 66.2 ," 11,308 ", 25.8 
 Bertie ," 16,058 ", 372 , 2.3 , 227 , 1.4 , 145 , 0.9 ," 15,686 ", 97.7 ," 5,134 ", 32.0 ," 10,552 ", 65.7 
 Bladen ," 31,514 "," 3,015 ", 9.6 ," 2,277 ", 7.2 , 738 , 2.3 ," 28,499 ", 90.4 ," 17,135 ", 54.4 ," 11,364 ", 36.1 
 Brunswick ," 201,455 "," 11,259 ", 5.6 ," 9,331 ", 4.6 ," 1,928 ", 1.0 ," 190,196 ", 94.4 ," 165,326 ", 82.1 ," 24,870 ", 12.3 
 Buncombe ," 297,951 "," 27,831 ", 9.3 ," 22,671 ", 7.6 ," 5,160 ", 1.7 ," 270,120 ", 90.7 ," 232,771 ", 78.1 ," 37,349 ", 12.5 
 Burke ," 91,881 "," 11,089 ", 12.1 ," 7,487 ", 8.1 ," 3,602 ", 3.9 ," 80,792 ", 87.9 ," 68,356 ", 74.4 ," 12,436 ", 13.5 
 Cabarrus ," 275,787 "," 37,422 ", 13.6 ," 29,205 ", 10.6 ," 8,217 ", 3.0 ," 238,365 ", 86.4 ," 146,428 ", 53.1 ," 91,937 ", 33.3 
 Caldwell ," 83,140 "," 5,883 ", 7.1 ," 4,778 ", 5.7 ," 1,105 ", 1.3 ," 77,257 ", 92.9 ," 67,409 ", 81.1 ," 9,848 ", 11.8 
 Camden ," 11,188 ", 470 , 4.2 , 357 , 3.2 , 113 , 1.0 ," 10,718 ", 95.8 ," 8,808 ", 78.7 ," 1,910 ", 17.1 
 Carteret ," 73,692 "," 4,206 ", 5.7 ," 3,601 ", 4.9 , 605 , 0.8 ," 69,486 ", 94.3 ," 62,073 ", 84.2 ," 7,413 ", 10.1 
 Caswell ," 22,461 "," 1,340 ", 6.0 ," 1,032 ", 4.6 , 308 , 1.4 ," 21,121 ", 94.0 ," 14,079 ", 62.7 ," 7,042 ", 31.4 
 Catawba ," 179,219 "," 23,470 ", 13.1 ," 17,567 ", 9.8 ," 5,903 ", 3.3 ," 155,749 ", 86.9 ," 122,200 ", 68.2 ," 33,549 ", 18.7 
